sample	coverage	taxonomy
my_sample	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
my_sample	1.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales_A
my_sample	0.39	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Parvibaculales
my_sample	1.5	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Kiloniellales
my_sample	0.68	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
my_sample	0.62	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales
my_sample	0.72	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__UBA8366
my_sample	0.95	Root; d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Balneolales
my_sample	4.33	Root; d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales
my_sample	1.11	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
my_sample	1.2	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
my_sample	0.8	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
my_sample	0.94	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
my_sample	0.34	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria; o__Nitriliruptorales
my_sample	0.94	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria; o__Euzebyales
my_sample	6.92	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
my_sample	0.59	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__UBA5794
my_sample	1.56	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__IMCC26256
my_sample	2.63	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
my_sample	2.62	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
my_sample	0.41	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales
my_sample	0.5	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
my_sample	0.28	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales
my_sample	0.38	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales
my_sample	15.73	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales
my_sample	2.72	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973
